State,Latitude,Longitude
AL,32.806671,-86.79113000000001
AK,61.370716,-152.404419
AZ,33.729759,-111.431221
AR,34.969704,-92.37312299999999
CA,36.116203000000006,-119.681564
CO,39.059810999999996,-105.311104
CT,41.597782,-72.755371
DE,39.318523,-75.507141
DC,38.897438,-77.02681700000001
FL,27.766278999999997,-81.68678299999999
GA,33.040619,-83.643074
HI,21.094317999999998,-157.49833700000002
ID,44.240459,-114.47882800000001
IL,40.349457,-88.986137
IN,39.849426,-86.258278
IA,42.011539,-93.210526
KS,38.5266,-96.726486
KY,37.66814,-84.670067
LA,31.169546,-91.867805
ME,44.693946999999994,-69.381927
MD,39.063946,-76.80210100000001
MA,42.230171,-71.530106
MI,43.326617999999996,-84.53609499999999
MN,45.694454,-93.900192
MS,32.741646,-89.678696
MO,38.456084999999995,-92.288368
MT,46.921925,-110.454353
NE,41.125370000000004,-98.26808199999999
NV,38.313515,-117.055374
NH,43.452492,-71.563896
NJ,40.298904,-74.521011
NM,34.840515,-106.24848200000001
NY,42.165726,-74.948051
NC,35.630066,-79.80641899999999
ND,47.528912,-99.784012
OH,40.388783000000004,-82.764915
OK,35.565342,-96.928917
OR,44.572021,-122.07093799999998
PA,40.590752,-77.209755
RI,41.680893,-71.51178
SC,33.856891999999995,-80.94500699999999
SD,44.299782,-99.438828
TN,35.747845,-86.69234499999999
TX,31.054486999999998,-97.563461
UT,40.150032,-111.86243400000001
VT,44.045876,-72.710686
VA,37.769337,-78.16996800000001
WA,47.400902,-121.490494
WV,38.491226,-80.954453
WI,44.268543,-89.616508
WY,42.755966,-107.30248999999999
